id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2025-0001,2025-01-04,2025-02-03,expense,invoice,Nordic Glass ApS,NORD-2025-1113,316.50,19.00,376.63,standard,goods,archive/finanzen/2025/eingang/NORD-2025-1113.pdf,,
L2025-0002,2025-01-06,2025-01-26,income,invoice,Praxis Dr. Lindqvist,RE-2025-006,104.20,0.00,104.20,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-006.pdf,,
L2025-0003,2025-01-06,2025-01-09,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-1387,82.28,0.00,82.28,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-1387.pdf,,
L2025-0004,2025-01-09,2025-02-11,income,invoice,Praxis Dr. Lindqvist,RE-2025-005,95.73,0.00,95.73,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-005.pdf,,
L2025-0005,2025-01-09,2025-01-23,expense,invoice,DHL Paket GmbH,DHL-2025-4580,62.81,19.00,74.74,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-4580.pdf,,
L2025-0006,2025-01-12,2025-01-21,income,invoice,Amazon EU S.à r.l.,SETTL-202501,261.84,0.00,261.84,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202501.pdf,,
L2025-0007,2025-01-13,2025-01-25,income,invoice,Hofladen Wiese,RE-2025-007,122.34,0.00,122.34,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-007.pdf,,
L2025-0008,2025-01-15,2025-01-15,income,invoice,Shopify Payments (Auszahlung),AUSZ-202501,295.89,0.00,295.89,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202501.pdf,,
L2025-0009,2025-01-15,2025-01-18,expense,invoice,Leinenweberei Voss,LEIN-2025-5263,361.54,19.00,430.23,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-5263.pdf,,
L2025-0010,2025-01-16,2025-01-17,expense,invoice,Shopify International Ltd.,SHOP-2025-0678,29.67,19.00,35.31,standard,software,archive/finanzen/2025/eingang/SHOP-2025-0678.pdf,,
