id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2026-0001,2025-12-02,2026-01-01,expense,invoice,Shopify International Ltd.,SHOP-2025-5674,60.26,19.00,71.71,standard,software,archive/finanzen/2026/eingang/SHOP-2025-5674.pdf,,
L2026-0002,2025-12-06,2026-01-08,income,invoice,Hofladen Wiese,RE-2025-180,263.23,0.00,263.23,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2025-180.pdf,,
L2026-0003,2025-12-17,2026-01-16,expense,invoice,Shopify International Ltd.,SHOP-2025-4575,98.61,19.00,117.35,standard,software,archive/finanzen/2026/eingang/SHOP-2025-4575.pdf,,
L2026-0004,2025-12-18,2026-01-20,income,invoice,Café Morgenrot,RE-2025-178,229.67,0.00,229.67,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2025-178.pdf,,
L2026-0005,2025-12-28,2026-02-14,income,invoice,Praxis Dr. Lindqvist,RE-2025-179,247.41,0.00,247.41,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2025-179.pdf,,
L2026-0006,2026-01-02,2026-01-16,expense,invoice,Leinenweberei Voss,LEIN-2026-3485,1087.84,19.00,1294.53,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-3485.pdf,,
L2026-0007,2026-01-03,2026-01-03,income,invoice,Amazon EU S.à r.l.,SETTL-202601,1312.28,0.00,1312.28,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202601.pdf,,
L2026-0008,2026-01-05,2026-01-08,expense,invoice,Shopify International Ltd.,SHOP-2026-0892,96.84,19.00,115.24,standard,software,archive/finanzen/2026/eingang/SHOP-2026-0892.pdf,,
L2026-0009,2026-01-08,2026-02-25,income,invoice,Buchhandlung Kessler,RE-2026-006,344.22,0.00,344.22,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-006.pdf,,
L2026-0010,2026-01-08,2026-01-28,income,invoice,Café Morgenrot,RE-2026-007,472.02,0.00,472.02,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-007.pdf,,
