id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2025-0001,2025-01-03,2025-01-10,expense,invoice,eBay GmbH,EBAY-2025-2007,77.04,0.00,77.04,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-2007.pdf,,
L2025-0002,2025-01-04,2025-02-06,income,invoice,Café Morgenrot,RE-2025-005,117.83,0.00,117.83,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-005.pdf,,
L2025-0003,2025-01-05,2025-02-04,expense,invoice,Deutsche Post AG,DEUT-2025-8672,9.41,0.00,9.41,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-8672.pdf,,
L2025-0004,2025-01-10,2025-01-17,expense,invoice,DHL Paket GmbH,DHL-2025-9560,51.87,19.00,61.73,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-9560.pdf,,
L2025-0005,2025-01-12,2025-01-15,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-8514,200.89,19.00,239.06,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-8514.pdf,,
L2025-0006,2025-01-16,2025-01-30,expense,invoice,Ratioform GmbH,RATI-2025-9529,42.45,19.00,50.52,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-9529.pdf,,
L2025-0007,2025-01-17,2025-01-26,income,invoice,Shopify Payments (Auszahlung),AUSZ-202501,214.91,0.00,214.91,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202501.pdf,,
L2025-0008,2025-01-17,2025-01-20,expense,invoice,Hetzner Online GmbH,HETZ-2025-9340,21.16,19.00,25.18,standard,software,archive/finanzen/2025/eingang/HETZ-2025-9340.pdf,,
L2025-0009,2025-01-18,2025-02-01,income,invoice,eBay GmbH,SETTL-202501,219.55,0.00,219.55,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202501.pdf,,
L2025-0010,2025-01-19,2025-01-24,income,invoice,Amazon EU S.à r.l.,SETTL-202501,217.00,0.00,217.00,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202501.pdf,,
L2025-0011,2025-01-20,2025-01-29,income,invoice,PayPal (Auszahlung),AUSZ-202501,292.49,0.00,292.49,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202501.pdf,,
L2025-0012,2025-01-22,2025-02-03,income,invoice,Praxis Dr. Lindqvist,RE-2025-006,90.66,0.00,90.66,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-006.pdf,,
L2025-0013,2025-01-24,2025-01-27,expense,invoice,Nordic Glass ApS,NORD-2025-9233,231.79,19.00,275.83,standard,goods,archive/finanzen/2025/eingang/NORD-2025-9233.pdf,,
L2025-0014,2025-01-26,2025-02-25,expense,invoice,sevDesk GmbH,SEVD-2025-8145,21.53,19.00,25.62,standard,software,archive/finanzen/2025/eingang/SEVD-2025-8145.pdf,,
L2025-0015,2025-01-28,2025-02-18,expense,invoice,Deutsche Post AG,DEUT-2025-6056,44.90,19.00,53.43,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-6056.pdf,,
L2025-0016,2025-02-02,2025-03-04,expense,invoice,Deutsche Post AG,DEUT-2025-5288,55.69,19.00,66.27,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-5288.pdf,,
L2025-0017,2025-02-04,2025-02-18,income,invoice,PayPal (Auszahlung),AUSZ-202502,292.77,0.00,292.77,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202502.pdf,,
L2025-0018,2025-02-06,2025-02-13,expense,invoice,eBay GmbH,EBAY-2025-1153,67.46,0.00,67.46,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-1153.pdf,,
L2025-0019,2025-02-09,2025-03-02,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-7745,268.24,19.00,319.21,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-7745.pdf,,
L2025-0020,2025-02-10,2025-02-17,income,invoice,Café Morgenrot,RE-2025-021,73.11,0.00,73.11,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-021.pdf,,
L2025-0021,2025-02-14,2025-02-15,expense,invoice,Hetzner Online GmbH,HETZ-2025-0329,25.88,19.00,30.80,standard,software,archive/finanzen/2025/eingang/HETZ-2025-0329.pdf,,
L2025-0022,2025-02-15,2025-03-01,income,invoice,eBay GmbH,SETTL-202502,207.19,0.00,207.19,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202502.pdf,,
L2025-0023,2025-02-15,2025-03-01,expense,invoice,Ratioform GmbH,RATI-2025-3357,25.53,19.00,30.38,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-3357.pdf,,
L2025-0024,2025-02-16,2025-02-16,income,invoice,Shopify Payments (Auszahlung),AUSZ-202502,250.50,0.00,250.50,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202502.pdf,,
L2025-0025,2025-02-16,2025-02-19,expense,invoice,Shopify International Ltd.,SHOP-2025-3288,24.55,19.00,29.21,standard,software,archive/finanzen/2025/eingang/SHOP-2025-3288.pdf,,
